0,1,5,9,13,15,34,41,43,51,66
0,1,5,15,19,43
0,1,5,13,15,19,43
0,5,8,13,15,19,29,41,58,60
0,1,5,13,15,19,43
1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,15,19,43
0,1,2,5,9,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
1,13,19
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,9,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
0,1,2,5,13,15,19,43
0,1,5,13,15,19,43
